,quarter,year,NROUST,NROU,SPF_Inflation,pceEnergy,V_hwi,Unemployment,V_U,POILBREUSDM,Michigan_Inflation,Swap_1year,Swap_5year,Swap_10year,import_def,GDP_def,UNRATE,USRECM,CPIAUCSL,CPILFESL,PCEPI,PCEPILFE
15,4,1971,5.994177,5.994177,3.893700027,13.058,2881.396033,5089.6665,0.566126687,,,,,,24.1,21.52,5.900000095367432,0,41.0,43.20000076293945,20.86000061035156,21.72200012207031
16,1,1972,6.00994,6.00994,3.893700027,13.018,3134.5943,4995.0,0.627546406,,,,,,24.501,21.848,5.800000190734863,0,41.33300018310547,43.56700134277344,21.07999992370605,21.93099975585938
17,2,1972,6.025690556,6.025690556,3.893700027,13.009,3284.780394,4934.6665,0.66565398,,,,,,25.134,21.984,5.699999809265137,0,41.59999847412109,43.90000152587891,21.20199966430664,22.07900047302246
18,3,1972,6.041317,6.041317,3.893700027,13.23166667,3499.077373,4900.3335,0.714048824,,,,,,25.546,22.194,5.599999904632568,0,41.93299865722656,44.23300170898438,21.38800048828125,22.2450008392334
19,4,1972,6.056706,6.056706,4.317299986,13.46333333,3890.557866,4673.3335,0.832501653,,,,,,26.128,22.477,5.400000095367432,0,42.36700057983398,44.46699905395508,21.5629997253418,22.38500022888184
20,1,1973,6.071745396,6.071745396,4.317299986,13.67866667,4246.493577,4390.6665,0.967163773,,,,,,26.919,22.736,4.900000095367432,0,43.03300094604492,44.79999923706055,21.82299995422363,22.54100036621094
21,2,1973,6.086335,6.086335,4.317299986,14.04333333,4237.324288,4383.6665,0.966616481,,,,,,29.053,23.086,4.900000095367432,0,43.93299865722656,45.26699829101563,22.24200057983398,22.84799957275391
22,3,1973,6.10038662,6.10038662,4.317299986,14.26266667,4259.541957,4320.0,0.986005083,,,,,,30.436,23.535,4.800000190734863,0,44.79999923706055,45.73300170898438,22.64699935913086,23.15099906921387
23,4,1973,6.113830566,6.113830566,4.317299986,15.28366667,4191.784372,4343.0,0.965181757,,,,,,32.707,24.004,4.800000190734863,1,45.93299865722656,46.5,23.11100006103516,23.47400093078613
24,1,1974,6.126616478,6.126616478,4.611033344,17.44633333,4009.420231,4669.6665,0.858609545,6.863333333,,,,,37.851,24.457,5.099999904632568,1,47.29999923706055,47.23300170898438,23.79800033569336,23.87700080871582
25,2,1974,6.138715,6.138715,5.289733315,18.79533333,4046.486244,4750.0,0.851891841,6.83,,,,,42.16,25.035,5.199999809265137,1,48.56700134277344,48.46699905395508,24.47200012207031,24.46999931335449
26,3,1974,6.150114536,6.150114536,5.472199821,19.2,3706.564341,5174.0,0.716382749,6.736666667,,,,,44.311,25.769,5.599999904632568,1,49.93299865722656,50.13299942016602,25.13199996948242,25.16900062561035
27,4,1974,6.16081953,6.16081953,5.472199821,19.22666667,3067.082108,6099.6665,0.502827836,7.01,,,,,45.741,26.527,6.599999904632568,1,51.46699905395508,51.59999847412109,25.77099990844727,25.78400039672852
28,1,1975,6.170844,6.170844,5.472199821,19.629,2585.38183,7666.3335,0.337238372,7.55,,,,,46.498,27.13,8.300000190734863,1,52.56700134277344,52.70000076293945,26.25600051879883,26.28800010681152
29,2,1975,6.180209,6.180209,5.495066547,20.01133333,2578.859119,8287.667,0.311168284,7.52,,,,,46.64,27.533,8.899999618530273,0,53.20000076293945,53.53300094604492,26.57799911499023,26.68899917602539
30,3,1975,6.188934,6.188934,5.540799999,20.92933333,2749.548516,7992.6665,0.344008913,7.743333333,,,,,45.607,28.019,8.5,0,54.26699829101563,54.23300170898438,27.07600021362305,27.0890007019043
31,4,1975,6.197032452,6.197032452,5.540799999,21.45933333,2859.439719,7811.6665,0.366047337,7.853333333,,,,,45.666,28.488,8.300000190734863,0,55.26699829101563,55.16699981689453,27.53000068664551,27.53000068664551
32,1,1976,6.204509,6.204509,5.278833294,21.502,3081.098813,7363.3335,0.418438037,8.106666667,,,,,46.386,28.789,7.699999809265137,0,55.90000152587891,56.20000076293945,27.83300018310547,27.94899940490723
33,2,1976,6.211358,6.211358,4.80286684,21.53333333,3188.909532,7235.0,0.440761511,7.916666667,,,,,47.076,29.079,7.599999904632568,0,56.40000152587891,56.96699905395508,28.06599998474121,28.28400039672852
34,3,1976,6.217563,6.217563,4.898799801,21.916,3191.683367,7462.6665,0.427686721,8.153333333,,,,,47.909,29.455,7.699999809265137,0,57.29999923706055,57.90000152587891,28.49200057983398,28.72699928283691
35,4,1976,6.223099,6.223099,4.898799801,22.57966667,3315.31932,7531.6665,0.440184031,8.563333333,,,,,48.395,29.983,7.800000190734863,0,58.13299942016602,58.70000076293945,28.9419994354248,29.17700004577637
36,1,1977,6.227931,6.227931,4.898799801,23.26466667,3576.567999,7343.3335,0.487049648,8.503333333,,,,,50.14,30.465,7.5,0,59.20000076293945,59.66699981689453,29.46500015258789,29.66799926757813
37,2,1977,6.232016563,6.232016563,5.016000175,23.60233333,3825.847672,7034.6665,0.543856297,8.446666667,,,,,51.53,30.895,7.099999904632568,0,60.23300170898438,60.63299942016602,29.9689998626709,30.12100028991699
38,3,1977,6.235309,6.235309,5.250399971,23.79033333,4042.732437,6835.0,0.591475119,8.45,,,,,52.211,31.271,6.900000095367432,0,61.06700134277344,61.5,30.41900062561035,30.62199974060059
39,4,1977,6.237757,6.237757,5.250399971,24.26966667,4400.912248,6654.6665,0.661327243,8.74,,,,,52.742,31.947,6.699999809265137,0,61.96699905395508,62.33300018310547,30.85199928283691,31.0669994354248
40,1,1978,6.239311,6.239311,5.438633347,24.44266667,4640.291813,6381.3335,0.727166479,8.79,5.966666667,,,,53.622,32.411,6.300000190734863,0,63.03300094604492,63.43299865722656,31.35799980163574,31.55200004577637
41,2,1978,6.239927,6.239927,5.815100098,24.71933333,5007.101811,6111.6665,0.819269476,8.893333333,6.7,,,,54.917,33.031,6.0,0,64.46700286865234,64.73300170898438,32.00199890136719,32.09600067138672
42,3,1978,6.239574432,6.239574432,5.815100098,25.098,5075.722834,6171.3335,0.822467759,9.053333333,7.4,,,,55.826,33.592,6.0,0,65.96700286865234,66.13300323486328,32.56399917602539,32.64699935913086
43,4,1978,6.23823452,6.23823452,6.059166813,26.013,5305.820644,6084.0,0.872094123,9.28,7.4,,,,56.799,34.279,5.900000095367432,0,67.5,67.5999984741211,33.17900085449219,33.23300170898438
44,1,1979,6.235909462,6.235909462,6.547299767,27.02266667,5210.335805,6130.3335,0.849926975,9.66,8.633333333,,,,59.01,34.904,5.900000095367432,0,69.19999694824219,69.16699981689453,33.80400085449219,33.6870002746582
45,2,1979,6.232617,6.232617,6.547299767,29.61,5323.283273,5956.0,0.893768179,10.91333333,9.8,,,,62.081,35.759,5.699999809265137,0,71.4000015258789,70.80000305175781,34.72800064086914,34.42699813842773
46,3,1979,6.228393555,6.228393555,7.116700077,33.10066667,5310.224725,6168.6665,0.860838355,13.98666667,9.8,,,,66.728,36.541,5.900000095367432,0,73.69999694824219,72.63300323486328,35.59000015258789,35.0629997253418
47,4,1979,6.22329,6.22329,6.9,35.30466667,5267.463634,6286.3335,0.837923033,15.86,9.633333333,,,,71.182,37.219,6.0,0,76.03299713134766,74.83300018310547,36.45100021362305,35.79399871826172
48,1,1980,6.21737051,6.21737051,,39.008,4905.769309,6704.6665,0.731694755,18.68333333,10.2,,,,77.182,38.001,6.300000190734863,1,79.03299713134766,77.5999984741211,37.54600143432617,36.66999816894531
